market,MKT_CUSTOMER_ID_C,SSA_TRADE_N,billing_country,FINIS,MLI,MDSMT_MNTHYR_Y,LOC_BDN,gross_revenue,billed_revenue,gross_pieces
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2830420,0457,202506,31.299669239,35.063824055,37.002482196,1.0
BEL,25457,BVBA GARAGE VERMEIRE,BEL, 0027416,0870,202511,64.0,71.696755712,71.696755712,0.0
BEL,10561,GARAGE DE DONCKER BVBA,BEL, 0027416,0870,202511,64.0,71.696755712,71.696755712,0.0
BEL,28655,GARAGE COLLET CHRISTOPHE,BEL, 0027416,0870,202511,64.0,71.696755712,71.696755712,0.0
BEL,18252,GARAGE FERDINAND GEUDENS,BEL, 0027416,0870,202511,64.0,71.696755712,71.696755712,0.0
BEL,46166,GARAGE FELTES GMBH,BEL, 0027416,0870,202511,64.0,71.696755712,71.696755712,0.0
BEL,16053,JOHAN BVBA,BEL, 0027416,0870,202511,64.0,71.696755712,71.696755712,0.0
BEL,42058,GARAGE CLAESKENS N.V.,BEL, 0027416,0870,202511,64.0,71.696755712,71.696755712,0.0
BEL,28052,J & O MOTORS BVBA,BEL, 0027416,0870,202511,64.0,71.696755712,71.696755712,0.0
BEL,22662,PERFORMANCE CARS,BEL, 0027416,0870,202511,64.0,71.696755712,71.696755712,0.0
BEL,24763,BVBA GARAGE SEDEYN & ZOON,BEL, 0027416,0870,202511,64.0,71.696755712,71.696755712,0.0
BEL,14485,GAR. B. VAN HOYE N.V.,BEL, 0027416,0870,202511,64.0,71.696755712,71.696755712,0.0
BEL,28053,VANDERGUCHT & ZOON,BEL, 0027416,0870,202511,64.0,71.696755712,71.696755712,0.0
BEL,16653,GARAGE DEN BAES BVBA,BEL, 0027125,0176,202511,3506.120190229,3927.772543383,3927.772543383,0.0
BEL,46173,ETS SPIRLET SA,BEL, 0027416,0870,202511,75.000432339,84.020119933,84.020119933,0.0
BEL,42054,GARAGE BOSMANS BVBA,BEL, 0027401,0855,202511,244.0,273.343881153,273.343881153,0.0
BEL,42357,E. VANSPRINGEL & ZOON BVBA,BEL, 0027401,0855,202511,244.0,273.343881153,273.343881153,0.0
BEL,41154,ST. NICOLAS MOTOR SPRL,BEL, 0027401,0855,202511,244.0,273.343881153,273.343881153,0.0
BEL,33554,VEYS - VANCLOOSTER BV,BEL, 0027401,0855,202511,244.0,273.343881153,273.343881153,0.0
BEL,28654,GARAGE DARAND,BEL, 0027401,0855,202511,244.0,273.343881153,273.343881153,0.0
BEL,18856,GARAGE GHIJSELS BVBA,BEL, 0027401,0855,202511,244.0,273.343881153,273.343881153,0.0
BEL,46171,GARAGE MICARELLI STEPHANE,BEL, 0027401,0855,202511,244.0,273.343881153,273.343881153,0.0
BEL,46157,GARAGE ANDRE M SPRL,BEL, 0027401,0855,202511,244.0,273.343881153,273.343881153,0.0
BEL,18260,BORREMANS BVBA,BEL, 0027401,0855,202511,244.0,273.343881153,273.343881153,0.0
BEL,32652,GARAGE BOMANS BVBA,BEL, 0027401,0855,202511,244.0,273.343881153,273.343881153,0.0
BEL,37000,Maasland Motor de Schaetzen NV,BEL, 0027204,0763,202511,343.429312581,384.730742633,384.730742633,0.0
BEL,33552,GARAGE MARC VANSTEENLAND BV,BEL, 0027416,0870,202511,58.0,64.975184864,64.975184864,0.0
BEL,16600,UNICARS BRUGGE BVBA,BEL, 0027204,0763,202511,1789.970600951,2005.235701694,2005.235701694,0.0
BEL,37000,Maasland Motor de Schaetzen NV,BEL, 1435679,0022,202511,3.500216169,3.921158494,4.144920256,5.0
BEL,28300,GARAGE MA CAMPAGNE BVBA,BEL, 2136158,0753,202504,-2.959608097,-3.315535919,-3.305181341,-1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2013334,0193,202504,471.639707921,528.359952141,557.554685193,2.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2115202,0109,202504,20.549958407,23.021333568,24.287698474,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2206402,0223,202504,16.959977817,18.999615421,20.052676017,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2212545,0202,202504,77.219706073,86.506287574,91.278712637,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2193141,0102,202504,98.500785655,110.346668273,116.507642264,10.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2288656,0017,202502,58.599855457,65.647180023,65.355712244,2.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2365929,0553,202502,133.229583233,149.252013794,157.48651832,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2207430,0132,202502,79.600096362,89.172947869,94.101991874,5.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 1805582,0201,202502,9.249819321,10.362219316,10.922485159,5.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 4513449,0022,202502,4.459648278,4.995973643,5.287441422,2.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2729830,0512,202502,94.979523007,106.401932168,112.283104252,3.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 5194292,0022,202502,28.159961455,31.546529333,33.2942565,4.0
BEL,16600,UNICARS BRUGGE BVBA,BEL, 2778105,0401,202502,856.650445676,959.672777112,955.359053976,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2773375,0606,202502,92.26017827,103.355554117,109.068322595,1.0
BEL,36600,GROUPE DE DONCKER SPRL,BEL, 2771342,0448,202502,171.460370995,192.080505214,191.217976489,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 6518101,0022,202502,15.30040954,17.140464455,18.14872707,10.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2490013,0022,202502,6.480366177,7.25970673,7.214367298,4.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2478663,0512,202502,144.180197543,161.51956878,170.458993528,6.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2501121,0457,202502,11.41989882,12.793276499,13.510071334,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2466309,0054,202502,5.409780776,6.060370793,6.385303391,1.0
