market,MKT_CUSTOMER_ID_C,SSA_TRADE_N,billing_country,FINIS,MLI,MDSMT_MNTHYR_Y,LOC_BDN,gross_revenue,billed_revenue,gross_pieces
NLD,19800,Hekkert Maastricht B.V.,NLD, 1073958,0015,202506,19.469900772,21.811386242,21.6997306,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1460220,0577,202506,47.900330761,53.660911146,53.436611759,10.0
NLD,01206,Auto Zutphen B.V.,NLD, 0027420,0870,202506,64.0,71.696755718,71.696755718,0.0
NLD,02803,Garage Wilp V.O.F.,NLD, 0027405,0855,202506,244.0,273.343881175,273.343881175,0.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 2128722,0102,202501,41.039285371,45.97474405,45.750928416,4.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 2257904,0022,202501,1.840361156,2.061686317,2.308098722,1.0
NLD,06600,Gerritse Oss,NLD, 2240193,0132,202501,107.03966958,119.912453826,119.28512443,8.0
NLD,06600,Gerritse Oss,NLD, 2221680,0505,202501,59.970223802,67.182351373,66.845551886,3.0
NLD,06600,Gerritse Oss,NLD, 2207424,0187,202501,584.500048026,654.793080876,651.656433895,40.0
NLD,06600,Gerritse Oss,NLD, 2207430,0132,202501,31.840361156,35.669540573,35.489842444,2.0
NLD,10300,Gerritse Culemborg,NLD, 2245341,0022,202501,7.240418788,8.111164646,8.065971104,4.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 2120663,0558,202501,801.600230525,898.00212395,893.631262874,30.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 2120643,0558,202501,425.200268946,476.335622269,473.871498225,20.0
NLD,06600,Gerritse Oss,NLD, 2219015,0449,202501,2.679857843,3.002142393,2.991382026,1.0
NLD,10300,Gerritse Culemborg,NLD, 2240193,0132,202501,13.380078763,14.989191233,14.910640554,1.0
NLD,10300,Gerritse Culemborg,NLD, 2129235,0138,202501,13.370473538,14.978430866,14.899880187,1.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 2224378,0084,202501,5.690135434,6.374441412,6.341084274,1.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 2168298,0612,202501,26.05033138,29.183191344,29.036850353,1.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 2215506,0019,202501,9.709922198,10.877655002,10.821701093,1.0
NLD,06600,Gerritse Oss,NLD, 2225817,0454,202501,68.850254538,77.130310666,86.416507388,1.0
NLD,23400,Autobedrijf Poll B.V.,NLD, 2219745,0187,202501,68.59955816,76.849465087,76.513741636,10.0
NLD,06600,Gerritse Oss,NLD, 2189493,0084,202501,15.799635001,17.699727681,17.587819864,5.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1706974,0444,202505,83.919637754,94.011965082,105.327362844,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1581453,0193,202505,466.200378072,522.26647823,519.6336389,5.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2214647,0138,202507,29.50021322,33.047962188,37.024533312,1.0
NLD,07301,Automobielbedrijf A. Korpershoek,NLD, 0027420,0870,202511,64.0,71.696755712,71.696755712,0.0
NLD,01207,Autobedrijf Ozinga Lemmer,NLD, 0027420,0870,202511,64.0,71.696755712,71.696755712,0.0
NLD,02803,Garage Wilp V.O.F.,NLD, 0027420,0870,202511,64.0,71.696755712,71.696755712,0.0
NLD,09901,Autobedrijf Van de Wouw B.V.,NLD, 0027405,0855,202511,244.0,273.343881153,273.343881153,0.0
NLD,01206,Auto Zutphen B.V.,NLD, 0027405,0855,202511,244.0,273.343881153,273.343881153,0.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1232496,0132,202511,47.910073498,53.671825558,53.402536511,3.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2095058,0002,202503,206.039332596,230.817995209,229.654478594,4.0
NLD,06600,Gerritse Oss,NLD, 2225825,0449,202503,-18.660383709,-20.904515188,-20.803246149,-1.0
NLD,10300,Gerritse Culemborg,NLD, 2209697,0219,202503,382.230129346,428.197815691,426.046387283,3.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2210970,0219,202503,426.090301486,477.332691423,474.946405031,3.0
NLD,06600,Gerritse Oss,NLD, 2184580,0132,202503,63.061018416,70.644850492,70.273171573,3.0
NLD,06600,Gerritse Oss,NLD, 2256302,0322,202503,100.0,112.026180779,111.465969075,2.0
NLD,06600,Gerritse Oss,NLD, 2190877,0019,202503,17.600615473,19.717297308,19.626801572,2.0
NLD,06600,Gerritse Oss,NLD, 2190122,0465,202503,18.579602827,20.814019451,20.713827743,1.0
NLD,06600,Gerritse Oss,NLD, 2189258,0219,202503,163.960186565,183.678335007,182.759372347,1.0
NLD,06600,Gerritse Oss,NLD, 2100953,0083,202503,14.270327451,15.986502828,15.907857723,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 2163763,0457,202503,5.979708612,6.69883918,6.665441943,1.0
NLD,06600,Gerritse Oss,NLD, 2111843,0188,202503,1309.639851902,1467.13950804,1459.801812053,1.0
NLD,06600,Gerritse Oss,NLD, 2168298,0612,202503,26.049911045,29.18272044,29.037280863,1.0
NLD,06600,Gerritse Oss,NLD, 2229798,0465,202503,6.890416887,7.719070878,7.684596312,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1802090,0187,202506,238.199779493,266.846115662,265.502295544,20.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1718237,0285,202506,18.43969129,20.657281905,20.556495396,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1685747,0074,202506,50.160088203,56.192431104,55.911809844,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1838586,0039,202506,137.530319735,154.069964655,153.296279984,1.0
NLD,19800,Hekkert Maastricht B.V.,NLD, 1766560,0025,202506,249.049614112,279.000771011,312.586392936,1.0
NLD,06202,Garagebedrijf Korterink B.V.,NLD, 0027420,0870,202502,64.0,71.696755713,71.696755713,0.0
