text_mli,mli_description,basket,mpl_code,pct_code,cg_code
0532,PARKING DISTANCE SYSTEMS,H,ACE,A,AC
0549,ADDITIONAL HEATERS,H,ACE,A,AC
0556,ELECTRICAL,C2,ACE,A,AC
0610,SB ADDITIONAL HEATERS,G,ACE,A,AC
0636,SB DISTANCE CONTROL,G,ACE,A,AC
0656,SB ELECTRICAL,G,ACE,A,AC
130,FPP COMPLETE WHEEL,G,AFP,A,AF
0584,FPP EXHAUST,G,AFP,A,AF
0585,FPP CHASSIS,G,AFP,A,AF
0586,FPP PREMIUM PARTS,G,AFP,A,AF
0587,FPP WHEELS,G,AFP,A,AF
0589,FPP APPEARANCE,G,AFP,A,AF
0736,FPP ENGINE,G,AFP,A,AF
608,SB DAB SYSTEMS,E,AIA,A,AI
0575,SBA ELECTRONICS 15%,G,AIA,A,AI
0625,SB AUDIO SYSTEMS,G,AIA,A,AI
0661,SB LOUDSPEAKERS,G,AIA,A,AI
0663,SB CAR KITS,G,AIA,A,AI
0664,SB INFOTAINMENT (C.B.R.),,AIA,A,AI
0690,SB INFOTAINMENT,G,AIA,A,AI
0633,SB MOBILE NAVIGATION,G,AIN,A,AI
0652,SB NAVIGATION SYSTEMS,G,AIN,A,AI
0654,SB NAVIGATION MAP DATA,G,AIN,A,AI
0531,MOBILITY ACCESSORIES,G,AOO,A,AO
0563,WORKSHOP MATERIAL,H,LTR,L,LT
0574,SBA DEALER MATERIAL 0%,,AOO,A,AO
0578,EV Mobility,G,AOO,A,AO
0579,ACCESSORY FORD SELL OUT,H,AOO,A,AO
0580,ACCESSORY SUPPLIER BRANDED SELL OUT,G,AOO,A,AO
0581,ACCESSORY INNOVATION PRODUCTS,C2,AOO,A,AO
0582,SBA RUS 35%,G,AOO,A,AO
0583,S/C GRAINED BUMPER BARS COMPETITIVE,B1,CBP,C,CB
0591,OTHER ACCESSORIES,H,AOO,A,AO
0601,SB OTHER ACCESSORIES (C.B.),E,AOO,A,AO
0623,ACCESSORY PACKS,C2,AOO,A,AO
0637,SB OTHER ACCESSORIES (C.B.R.),,AOO,A,AO
0671,SB WORKSHOP MATERIAL,,AOO,A,AO
0691,ACCESSORY CAMPING,G,AOO,A,AO
