Market,DealerCode,MLI,Months,channel,payment,BusinessY,BusinessM,BusinessQ,MKTG,UCC,channel_1,LOC_Invoiced,LOC_BDN,LOC_RRP,USD_Invoiced,USD_BDN,USD_RRP,qty
NLD,05161,0187,202501,1107,E,2025,1,1,0,05101,1107,1642.74,1632.08,3264.16,1944.60333144,1931.98449248,3863.96898496,158.0
NLD,05181,0059,202501,1108,I,2025,1,1,0,#,1108,2433.26,2565.98,3665.69,2880.38612456,3037.49422088,4339.28253164,23.0
NLD,04292,0102,202501,1000,E,2025,1,1,0,#,1000,1878.0,952.84,1905.68,2223.093768,1127.93006704,2255.86013408,109.0
NLD,05176,0517,202501,1000,I,2025,1,1,0,#,1000,34.26,16.2,29.46,40.55548056,19.1768472,34.87345176,2.0
NLD,08481,0116,202501,1000,E,2025,1,1,0,#,1000,283.65,227.31,413.33,335.7723894,269.07957636,489.28186748,39.0
NLD,09905,0132,202501,1000,E,2025,1,1,0,#,1000,2139.17,651.72,1303.44,2532.25532252,771.47746032,1542.95492064,33.0
NLD,19500,0201,202501,1000,E,2025,1,1,0,#,1000,1375.45,1159.4,1656.26,1628.1971902,1372.4467064,1960.60771256,123.0
NLD,27590,0444,202501,1000,E,2025,1,1,0,#,1000,177.68,121.3,173.37,210.32976608,143.5896028,205.22777772,30.0
NLD,27591,0385,202501,1000,E,2025,1,1,0,#,1000,4558.96,2213.87,3689.49,5396.69625376,2620.68189572,4367.45592444,88.0
NLD,03760,0021,202501,1101,E,2025,1,1,353,#,1101,35.55,30.64,43.77,42.0825258,36.27028384,51.81300012,2.0
NLD,05161,0506,202501,1101,E,2025,1,1,0,#,1101,632.81,484.43,807.38,749.09263436,573.44691908,955.74091928,3.0
NLD,07301,0558,202501,1000,E,2025,1,1,0,#,1000,713.97,458.92,834.35,845.16627132,543.24930352,987.6668186,21.0
NLD,21784,0517,202501,1000,I,2025,1,1,0,#,1000,17.13,8.1,14.73,20.27774028,9.5884236,17.43672588,1.0
NLD,03797,0448,202501,1101,E,2025,1,1,0,#,1101,1160.37,720.62,1029.46,1373.59494972,853.03824872,1218.62945176,8.0
NLD,05161,0433,202501,1101,E,2025,1,1,0,#,1101,938.23,752.09,1074.42,1110.63539188,890.29105004,1271.85112152,3.0
NLD,01288,0486,202501,1109,E,2025,1,1,0,#,1109,90.71,68.01,97.16,107.37850676,80.50724556,115.01373296,2.0
NLD,05199,0517,202501,1109,E,2025,1,1,0,#,1109,17.13,8.1,14.73,20.27774028,9.5884236,17.43672588,1.0
NLD,05171,0187,202501,1000,E,2025,1,1,0,#,1000,3696.67,1773.72,3547.44,4375.95529252,2099.65169232,4199.30338464,163.0
NLD,05195,0006,202501,1000,W,2025,1,1,0,#,1000,50.24,43.74,62.48,59.47190144,51.77748744,73.96107488,2.0
