market_code,hdlnr,sell_out_channel,bes_flag,mli_code,year_yyyy,month_mm,quantity,base_discount
DE,1P6C0,1000,,0132,2025,01,12,197.18
DE,1MS9A,1101,,0590,2026,01,4,87.61
DE,1VDJ0,1100,,0018,2026,01,1,22.77
DE,1MS8B,1109,,0454,2025,01,1,87.97
DE,1P700,1000,,0187,2026,01,57,562.41
DE,1W220,1000,,0202,2025,01,1,92
DE,1MS8A,1000,,0188,2026,01,3,2710
DE,1MS9A,1104,,0205,2025,01,3,73.65
DE,1P620,1000,,0415,2025,01,1,660.71
DE,1Q650,1000,BES,0018,2026,01,2,133.08
DE,1V8A0,1000,,0457,2026,01,2,62.52
DE,1W1B0,1100,,0205,2026,01,1,24.55
DE,1N550,1108,,0465,2025,01,2,42.74
DE,2V254,1000,,0301,2026,01,1,3822.88
DE,1SA90,1100,,0457,2025,01,1,70.83
DE,2V127,1000,,0107,2026,01,1,20.4
DE,1NPK0,1100,,0119,2025,01,1,83.42
DE,1VDJ0,1000,,0052,2026,01,1,1040.72
DE,1N550,1107,,0757,2025,01,1,4.49
DE,1W1B0,1100,,0020,2026,01,1,3.65
DE,1MS8B,1101,,0482,2026,01,1,4.29
DE,1W220,1109,,0177,2026,01,1,4.08
AT,11400,1000,,0107,2025,01,1,15.79
DE,1V8A0,1001,,0011,2025,01,1,27.46
DE,2V419,1000,,0055,2026,01,2,15.34
DE,1N550,1100,,0553,2026,01,3,420.21
DE,1P59B,1000,,0522,2025,01,64.5,704.34
DE,1N700,1000,,0002,2026,01,58,4116.31
DE,1MS8B,1000,,0201,2026,01,34,451.72
DE,1P620,1000,,0193,2025,01,15,2572.99
DE,1N550,1100,BES,0022,2025,01,352,601.95
DE,1V8A0,1000,,0193,2025,01,13,1894.37
DE,1MS9A,1104,,0449,2025,01,12,318.22
DE,1N5C0,1000,,0444,2026,01,36,722.38
DE,1N700,1100,,0484,2025,01,1,557.34
DE,1NPK0,1001,,0161,2026,01,1,10.11
DE,1P130,1000,,0100,2025,01,8,104.99
DE,1MS9A,1101,,0054,2025,01,11,101.17
DE,1V830,1000,,0570,2025,01,2,177.82
DE,1VDJ0,1100,,0022,2025,01,32,78.19
DE,2V255,1000,,0155,2026,01,1,339.69
DE,1V8A0,1000,,0650,2025,01,2,132.56
DE,1P59B,1000,,0223,2026,01,4,38.68
