nsc_iso,markt_haendlernummer,haendlernummer,soc_qlf,soc_sor,soc_num,soc_num_txt,eigene_werkstatt_mit_strecke
AUT,AUT10600,10600,1,1100,100,100-channel text,N
AUT,AUT11400,11400,1,1100,100,100-channel text,N
AUT,AUT19000,19000,1,1100,100,100-channel text,N
AUT,AUT21800,21800,1,1100,100,100-channel text,N
AUT,AUT22800,22800,1,1100,100,100-channel text,N
AUT,AUT30100,30100,1,1100,100,100-channel text,N
AUT,AUT30600,30600,1,1100,100,100-channel text,N
AUT,AUT35000,35000,1,1100,100,100-channel text,N
AUT,AUT46900,46900,1,1100,100,100-channel text,N
AUT,AUT54100,54100,1,1100,100,100-channel text,N
AUT,AUT58600,58600,1,1100,100,100-channel text,N
AUT,AUT61800,61800,1,1100,100,100-channel text,N
AUT,AUT61900,61900,1,1100,100,100-channel text,N
AUT,AUT62500,62500,1,1100,100,100-channel text,N
CHE,CHE50700,50700,1,1100,100,100-channel text,N
CHE,CHE52800,52800,1,1100,100,100-channel text,N
CHE,CHE53700,53700,1,1100,100,100-channel text,N
CHE,CHE54700,54700,1,1100,100,100-channel text,N
CHE,CHE55000,55000,1,1100,100,100-channel text,N
CHE,CHE63000,63000,1,1100,100,100-channel text,N
CHE,CHE64400,64400,1,1100,100,100-channel text,N
CHE,CHE64700,64700,1,1100,100,100-channel text,N
CHE,CHE64800,64800,1,1100,100,100-channel text,N
CHE,CHE65200,65200,1,1100,100,100-channel text,N
CHE,CHE66000,66000,1,1100,100,100-channel text,N
CHE,CHE66700,66700,1,1100,100,100-channel text,N
CHE,CHE67400,67400,1,1100,100,100-channel text,N
CHE,CHE67600,67600,1,1100,100,100-channel text,N
DEU,DEU1A170,1A170,1,1100,100,100-channel text,N
DEU,DEU1A280,1A280,,1100,100,100-channel text,Y
DEU,DEU1A300,1A300,1,1100,100,100-channel text,N
DEU,DEU1A30B,1A30B,1,1100,100,100-channel text,Y
DEU,DEU1A520,1A520,1,1100,100,100-channel text,N
DEU,DEU1A550,1A550,1,1100,100,100-channel text,N
DEU,DEU1A55A,1A55A,,1100,100,100-channel text,N
DEU,DEU1AM90,1AM90,1,1100,100,100-channel text,N
DEU,DEU1B100,1B100,,1100,100,100-channel text,N
DEU,DEU1B109,1B109,1,1100,100,100-channel text,N
DEU,DEU1B10G,1B10G,,1100,100,100-channel text,Y
DEU,DEU1B10K,1B10K,,1100,100,100-channel text,Y
DEU,DEU1B10N,1B10N,,1100,100,100-channel text,Y
DEU,DEU1B240,1B240,1,1100,100,100-channel text,N
DEU,DEU1B24B,1B24B,1,1100,100,100-channel text,Y
DEU,DEU1B24D,1B24D,1,1100,100,100-channel text,Y
DEU,DEU1B24E,1B24E,1,1100,100,100-channel text,Y
DEU,DEU1B24F,1B24F,1,1100,100,100-channel text,Y
DEU,DEU1B24G,1B24G,1,1100,100,100-channel text,Y
DEU,DEU1B580,1B580,1,1100,100,100-channel text,N
DEU,DEU1B58B,1B58B,1,1100,100,100-channel text,Y
DEU,DEU1B58F,1B58F,1,1100,100,100-channel text,Y
