markt,haendlernummer,markt_haendlernummer,poolinggruppe_sellout,region_teile,thg,haendlername,tn_teilebonus_status,tn_teilebonus_101_freie_werkstatt,tn_teilebonus_104_service_u_karosserie_kettengebunden,reporting_inkludiert_teile
AUT,10000,AUT10000,00100,Österreich,,A,False,False,False,True
AUT,10100,AUT10100,,Österreich,,B,False,False,False,True
AUT,10200,AUT10200,,Österreich,,C,False,False,False,True
AUT,10400,AUT10400,,Österreich,,A,False,False,False,False
AUT,10600,AUT10600,00106,Österreich,OTH4,B,True,True,True,True
AUT,10700,AUT10700,,Österreich,,C,False,False,False,False
AUT,10800,AUT10800,,Österreich,,A,False,False,False,True
AUT,11000,AUT11000,00110,Österreich,OTH4,B,True,True,True,False
AUT,11100,AUT11100,,Österreich,,C,False,False,False,False
AUT,11200,AUT11200,,Österreich,,A,False,False,False,True
AUT,11300,AUT11300,,Österreich,,B,False,False,False,True
AUT,11400,AUT11400,11400,Österreich,OTH4,C,True,True,True,True
AUT,11800,AUT11800,,Österreich,,A,False,False,False,True
AUT,11900,AUT11900,,Österreich,,B,False,False,False,True
AUT,12000,AUT12000,,Österreich,,C,False,False,False,True
AUT,12100,AUT12100,,Österreich,,A,False,False,False,False
AUT,12200,AUT12200,,Österreich,,B,False,False,False,True
AUT,13000,AUT13000,,Österreich,,C,False,False,False,True
AUT,14000,AUT14000,,Österreich,,A,False,False,False,True
AUT,15000,AUT15000,00150,Österreich,OTH1,B,False,False,False,True
AUT,16500,AUT16500,,Österreich,,C,False,False,False,False
AUT,18000,AUT18000,18000,Österreich,OTH4,A,False,False,False,False
AUT,18100,AUT18100,,Österreich,,B,False,False,False,False
AUT,19000,AUT19000,00150,Österreich,OTH1,C,True,True,True,True
AUT,20100,AUT20100,,Österreich,,A,False,False,False,True
AUT,20400,AUT20400,,Österreich,,B,False,False,False,True
AUT,20500,AUT20500,,Österreich,,C,False,False,False,True
AUT,20700,AUT20700,,Österreich,,A,False,False,False,True
AUT,20900,AUT20900,20900,Österreich,OTH1,B,False,False,False,True
AUT,21200,AUT21200,,Österreich,,C,False,False,False,True
AUT,21800,AUT21800,00218,Österreich,OTH3,A,True,True,True,True
AUT,21900,AUT21900,00219,Österreich,OTH3,B,False,False,False,True
AUT,22000,AUT22000,,Österreich,,C,False,False,False,False
AUT,22300,AUT22300,,Österreich,,A,False,False,False,True
AUT,22400,AUT22400,,Österreich,,B,False,False,False,True
AUT,22600,AUT22600,,Österreich,,C,False,False,False,True
AUT,22800,AUT22800,00228,Österreich,OTH1,A,True,True,True,True
AUT,22900,AUT22900,,Österreich,OTH2,B,False,False,False,True
AUT,23200,AUT23200,00232,Österreich,OTH2,C,False,False,False,True
AUT,23600,AUT23600,,Österreich,,A,False,False,False,False
AUT,24000,AUT24000,24000,Österreich,OTH2,B,False,False,False,False
AUT,24300,AUT24300,,Österreich,,C,False,False,False,False
AUT,24400,AUT24400,,Österreich,,A,False,False,False,False
AUT,24500,AUT24500,,Österreich,OTH1,B,False,False,False,True
AUT,24600,AUT24600,,Österreich,,C,False,False,False,False
AUT,26800,AUT26800,,Österreich,,A,False,False,False,True
AUT,27000,AUT27000,,Österreich,,B,False,False,False,True
AUT,27100,AUT27100,,Österreich,,C,False,False,False,True
AUT,28500,AUT28500,,Österreich,,A,False,False,False,False
AUT,30100,AUT30100,00326,Österreich,OTH4,B,True,True,True,True
AUT,30600,AUT30600,00306,Österreich,OTH4,C,True,True,True,True
AUT,30700,AUT30700,,Österreich,,A,False,False,False,True
AUT,31200,AUT31200,,Österreich,,B,False,False,False,True
AUT,31300,AUT31300,,Österreich,,C,False,False,False,True
AUT,31600,AUT31600,,Österreich,,A,False,False,False,True
AUT,31800,AUT31800,,Österreich,,B,False,False,False,False
AUT,31900,AUT31900,,Österreich,,C,False,False,False,False
AUT,32200,AUT32200,,Österreich,,A,False,False,False,True
AUT,32600,AUT32600,,Österreich,,B,False,False,False,True
AUT,32800,AUT32800,,Österreich,,C,False,False,False,True
AUT,33200,AUT33200,,Österreich,,A,False,False,False,True
AUT,33300,AUT33300,,Österreich,,B,False,False,False,True
AUT,33400,AUT33400,,Österreich,,C,False,False,False,True
AUT,33500,AUT33500,,Österreich,,A,False,False,False,True
AUT,33700,AUT33700,,Österreich,,B,False,False,False,True
AUT,33800,AUT33800,,Österreich,,C,False,False,False,True
AUT,34000,AUT34000,,Österreich,,A,False,False,False,True
AUT,34100,AUT34100,,Österreich,,B,False,False,False,True
AUT,34200,AUT34200,,Österreich,,C,False,False,False,True
AUT,34300,AUT34300,,Österreich,,A,False,False,False,True
AUT,35000,AUT35000,00350,Österreich,OTH3,B,True,True,True,True
AUT,37000,AUT37000,,Österreich,,C,False,False,False,True
AUT,37100,AUT37100,,Österreich,,A,False,False,False,False
AUT,37200,AUT37200,,Österreich,,B,False,False,False,False
